dataset,distribution,n_placements,mean,sd,range,best,n_optima,swap_edges,rho_swap,fdc
cifar10-valid,1;5;0;0;0,6,73.06111110188802,6.773624727873554,14.654666671549492,82.8559999975586,1,30,-0.2,-0.6466858818632241
cifar10-valid,2;0;0;0;4,15,65.87071110835775,3.7425147220660953,11.623999995117188,71.688,1,120,0.15247347012812323,-0.627218500468393
cifar10-valid,2;0;0;1;3,60,77.71602221806506,7.52204141871042,26.140000002034498,88.67199999267578,1,660,0.25036686905635736,-0.3335568254639354
cifar10-valid,2;0;0;2;2,90,83.74858518001301,5.893446698624195,26.20666666056315,89.26799998657226,1,1080,0.2526077056150909,-0.06423265538062548
cifar10-valid,2;0;0;3;1,60,87.16708888791233,3.9749454893837193,18.395999999999987,89.80799999267578,1,660,0.13310573079911184,-0.32987714888921715
cifar10-valid,2;0;0;4;0,15,88.84417777560765,1.0536639818154683,3.3519999853515685,89.86599999389648,1,120,0.17430579400563187,-0.5945178275179457
cifar10-valid,2;0;1;0;3,60,75.93542221526421,6.7471230941860245,23.216000012207026,86.386,1,660,0.2641254172689826,-0.25701442491116
cifar10-valid,2;0;1;1;2,180,83.04009629424597,5.9665490635793175,26.582666658528638,88.91999999755859,1,2340,0.33897838891877763,0.02338361757970942
cifar10-valid,2;0;1;2;1,180,86.89497036291503,4.057334560801904,18.337999986572257,90.08199998168945,1,2340,0.2880525089716219,-0.05837708218985881
cifar10-valid,2;0;1;3;0,60,88.77552221993001,1.0459578692540905,4.330666656901045,90.23733332519532,1,660,0.21651874454817827,0.09203490940708263
cifar10-valid,2;0;2;0;2,90,81.43898518461553,5.680688236723992,24.76200001464843,87.02600000854491,1,1080,0.29732228476208156,-0.4562492045830155
cifar10-valid,2;0;2;1;1,180,86.2950111052834,4.064574677568812,17.765333319091795,89.54799998413085,1,2340,0.306243476275624,-0.28098753526858383
cifar10-valid,2;0;2;2;0,90,88.54393332549373,1.2622182164419367,5.8246666385905,90.30599998413086,1,1080,0.27741398081061114,-0.12357811617324506
cifar10-valid,2;0;3;0;1,60,84.80766666510009,3.800244856497516,15.612666647542312,87.34266665364584,1,660,0.18510219715497866,-0.22110941076424326
cifar10-valid,2;0;3;1;0,60,87.74812221929255,1.4908988566802992,5.587333331705736,89.79733332682292,1,660,0.21189067403759015,-0.3551617887402787
cifar10-valid,2;0;4;0;0,15,85.7756000047743,0.9283541716369453,2.533999995117199,86.57599999389649,1,120,0.18260010622405168,-0.19534044010367813
cifar10-valid,2;1;0;0;3,60,69.81445555025228,5.725552607067116,29.148000005086267,84.5453333219401,1,660,0.33293603752609113,-0.6637674947374411
cifar10-valid,2;1;0;1;2,180,81.3344814791678,6.772724624153255,26.56533332641601,88.7373333227539,1,2340,0.34338412160499704,-0.1830445468949821
cifar10-valid,2;1;0;2;1,180,86.57846295710586,4.5272629611818545,20.003999981689446,91.11199999145508,1,2340,0.2689565832123775,-0.17433293553978887
cifar10-valid,2;1;0;3;0,60,88.83137777696398,1.3964044001133664,6.887333325602228,91.08600000366212,1,660,-0.022798133195904964,-0.1257677755819146
cifar10-valid,2;1;1;0;2,180,79.72035184917536,6.197740342062674,24.192000010986334,87.2119999987793,1,2340,0.35501347747120504,-0.21979378012065534
cifar10-valid,2;1;1;1;1,360,86.00761481261189,4.51687574707101,19.459999970703123,90.5453333178711,1,5040,0.3504349283723302,-0.09225822201531406
cifar10-valid,2;1;1;2;0,180,88.69149999005806,1.4974216372413116,6.858666632080073,91.28799997924804,1,2340,0.22391570030677632,-0.10140705932604445
cifar10-valid,2;1;2;0;1,180,84.5926481495836,4.1038240280785825,16.29666665893555,87.97066666748047,1,2340,0.29869963285896384,-0.182665817698342
cifar10-valid,2;1;2;1;0,180,88.02329999345342,1.634813948541415,6.62399997680663,90.71399998046874,1,2340,0.2808539059161268,-0.07271697644216202
cifar10-valid,2;1;3;0;0,60,86.23167777990722,0.9143945610426313,4.202666656494131,88.27999999145507,1,660,0.06379397310666236,-0.3495110056673727
cifar10-valid,2;2;0;0;2,90,74.61970369822411,5.231150854274944,21.48266666544597,84.56399999389649,1,1080,0.34841533229513666,-0.4178110305264815
cifar10-valid,2;2;0;1;1,180,84.68903703376374,5.244086686313724,17.562666656901058,89.28399999755861,1,2340,0.3001934295619442,-0.23442078637995847
cifar10-valid,2;2;0;2;0,90,88.59077036465567,1.7174695970064857,6.78400000976562,90.95200001464843,1,1080,0.12456508012930785,-0.14638889412280182
cifar10-valid,2;2;1;0;1,180,83.26284074138499,4.617807596362731,15.800000008138014,87.18000000976562,1,2340,0.29312853442912207,-0.09133425136795485
cifar10-valid,2;2;1;1;0,180,88.07537036667436,1.7875175185693535,6.44599996297201,90.63799997680664,1,2340,0.2995086751790378,0.01707011908744906
