perm,fitness
"[2, 3, 5, 1, 4, 0]",0.9375
"[2, 3, 5, 4, 0, 1]",0.9375
"[2, 3, 5, 4, 1, 0]",0.9375
"[2, 4, 0, 1, 3, 5]",0.84375
"[2, 4, 0, 1, 5, 3]",0.90625
"[2, 4, 0, 3, 1, 5]",0.84375
"[2, 4, 0, 3, 5, 1]",0.90625
"[2, 4, 0, 5, 1, 3]",0.90625
"[2, 4, 0, 5, 3, 1]",0.90625
"[2, 4, 1, 0, 3, 5]",0.875
"[2, 4, 1, 0, 5, 3]",0.84375
"[2, 4, 1, 3, 0, 5]",0.875
"[2, 4, 1, 3, 5, 0]",0.84375
"[2, 4, 1, 5, 0, 3]",0.84375
"[2, 4, 1, 5, 3, 0]",0.84375
"[2, 4, 3, 0, 1, 5]",0.90625
"[2, 4, 3, 0, 5, 1]",0.90625
"[2, 4, 3, 1, 0, 5]",0.9375
"[2, 4, 3, 1, 5, 0]",0.9375
"[2, 4, 3, 5, 0, 1]",0.9375
"[2, 4, 3, 5, 1, 0]",0.9375
"[2, 4, 5, 0, 1, 3]",0.9375
"[2, 4, 5, 0, 3, 1]",0.875
"[2, 4, 5, 1, 0, 3]",0.90625
"[2, 4, 5, 1, 3, 0]",0.90625
"[2, 4, 5, 3, 0, 1]",0.90625
"[2, 4, 5, 3, 1, 0]",0.84375
"[2, 5, 0, 1, 3, 4]",0.4375
"[2, 5, 0, 1, 4, 3]",0.5
"[2, 5, 0, 3, 1, 4]",0.5
"[2, 5, 0, 3, 4, 1]",0.34375
"[2, 5, 0, 4, 1, 3]",0.53125
"[2, 5, 0, 4, 3, 1]",0.4375
"[2, 5, 1, 0, 3, 4]",0.4375
"[2, 5, 1, 0, 4, 3]",0.53125
"[2, 5, 1, 3, 0, 4]",0.46875
"[2, 5, 1, 3, 4, 0]",0.4375
"[2, 5, 1, 4, 0, 3]",0.5
"[2, 5, 1, 4, 3, 0]",0.40625
"[2, 5, 3, 0, 1, 4]",0.46875
"[2, 5, 3, 0, 4, 1]",0.40625
"[2, 5, 3, 1, 0, 4]",0.5625
"[2, 5, 3, 1, 4, 0]",0.40625
"[2, 5, 3, 4, 0, 1]",0.4375
"[2, 5, 3, 4, 1, 0]",0.40625
"[2, 5, 4, 0, 1, 3]",0.65625
"[2, 5, 4, 0, 3, 1]",0.46875
"[2, 5, 4, 1, 0, 3]",0.6875
"[2, 5, 4, 1, 3, 0]",0.59375
"[2, 5, 4, 3, 0, 1]",0.5625
"[2, 5, 4, 3, 1, 0]",0.53125
"[3, 0, 1, 2, 4, 5]",0.875
"[3, 0, 1, 2, 5, 4]",0.90625
"[3, 0, 1, 4, 2, 5]",0.875
"[3, 0, 1, 4, 5, 2]",0.90625
"[3, 0, 1, 5, 2, 4]",0.9375
"[3, 0, 1, 5, 4, 2]",0.96875
"[3, 0, 2, 1, 4, 5]",0.875
"[3, 0, 2, 1, 5, 4]",0.9375
"[3, 0, 2, 4, 1, 5]",0.84375
"[3, 0, 2, 4, 5, 1]",0.84375
"[3, 0, 2, 5, 1, 4]",0.90625
"[3, 0, 2, 5, 4, 1]",0.90625
"[3, 0, 4, 1, 2, 5]",0.84375
"[3, 0, 4, 1, 5, 2]",0.84375
"[3, 0, 4, 2, 1, 5]",0.875
"[3, 0, 4, 2, 5, 1]",0.90625
"[3, 0, 4, 5, 1, 2]",0.9375
"[3, 0, 4, 5, 2, 1]",0.9375
"[3, 0, 5, 1, 2, 4]",0.875
"[3, 0, 5, 1, 4, 2]",0.9375
"[3, 0, 5, 2, 1, 4]",0.875
"[3, 0, 5, 2, 4, 1]",0.9375
"[3, 0, 5, 4, 1, 2]",0.90625
"[3, 0, 5, 4, 2, 1]",0.96875
"[3, 1, 0, 2, 4, 5]",0.90625
"[3, 1, 0, 2, 5, 4]",0.90625
"[3, 1, 0, 4, 2, 5]",0.875
"[3, 1, 0, 4, 5, 2]",0.875
"[3, 1, 0, 5, 2, 4]",0.9375
"[3, 1, 0, 5, 4, 2]",0.9375
"[3, 1, 2, 0, 4, 5]",0.9375
"[3, 1, 2, 0, 5, 4]",0.90625
"[3, 1, 2, 4, 0, 5]",0.875
"[3, 1, 2, 4, 5, 0]",0.71875
"[3, 1, 2, 5, 0, 4]",0.9375
