landscape,family,n,method,seed,budget,evaluated,hit,best,optimum,regret,auc,best_at_15,best_at_25,best_at_50,best_at_100,best_at_200,hit_by_15,hit_by_25,hit_by_50,hit_by_100,hit_by_200
adjacency_n7,synthetic,7,ea_portfolio,26,200,200,89,1.0,1.0,0.0,0.85833333,0.5,0.66666667,0.66666667,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,27,200,200,152,1.0,1.0,0.0,0.83916667,0.66666667,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,28,200,200,144,1.0,1.0,0.0,0.83833333,0.66666667,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,29,200,200,145,1.0,1.0,0.0,0.81916667,0.66666667,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,30,200,200,151,1.0,1.0,0.0,0.8,0.5,0.5,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,31,200,200,,0.83333333,1.0,0.16666667,0.7575,0.5,0.5,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,32,200,200,94,1.0,1.0,0.0,0.81083333,0.33333333,0.5,0.66666667,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,33,200,200,85,1.0,1.0,0.0,0.84416667,0.66666667,0.66666667,0.66666667,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,34,200,200,,0.83333333,1.0,0.16666667,0.69333333,0.33333333,0.5,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,35,200,200,146,1.0,1.0,0.0,0.8025,0.5,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,36,200,200,170,1.0,1.0,0.0,0.76083333,0.5,0.5,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,37,200,200,,0.83333333,1.0,0.16666667,0.70333333,0.5,0.5,0.5,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,38,200,200,84,1.0,1.0,0.0,0.82666667,0.5,0.5,0.5,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,39,200,200,101,1.0,1.0,0.0,0.8625,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,eda_precedence,0,200,200,,0.83333333,1.0,0.16666667,0.78166667,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
